Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
1                    1                    100                  0.7600000000         Equal GLC            104.4783145158       Equal GLC            45.3314019789       
1                    2                    100                  0.8300000000         Equal GLC            90.9181436693        Equal GLC            38.5513165557       
1                    3                    100                  0.7700000000         Equal GLC            107.4659290401       Equal GLC            46.8252092411       
1                    4                    100                  0.7500000000         Equal GLC            114.2257043142       Equal GLC            50.2050968781       
1                    5                    100                  0.8000000000         Equal GLC            95.3353213891        Equal GLC            40.7599054156       
1                    6                    100                  0.7200000000         Equal GLC            132.2168478843       Equal GLC            59.2006686631       
1                    7                    100                  0.6800000000         Unidimensional Y     111.3422930966       Equal GLC            50.8543347645       
1                    8                    100                  0.6800000000         Unidimensional Y     132.4634816111       Equal GLC            59.3517521388       
2                    1                    100                  0.7300000000         Equal GLC            113.3615479091       Equal GLC            49.7730186756       
2                    2                    100                  0.7800000000         Equal GLC            100.0941090596       Equal GLC            43.1392992508       
2                    3                    100                  0.8200000000         Equal GLC            95.1065123499        Equal GLC            40.6455008960       
2                    4                    100                  0.8200000000         Equal GLC            93.4059065522        Equal GLC            39.7951979971       
2                    5                    100                  0.8000000000         Equal GLC            81.4086431049        Equal GLC            33.7965662735       
2                    6                    100                  0.8500000000         Equal GLC            75.1045341183        Equal GLC            30.6445117802       
2                    7                    100                  0.8100000000         Equal GLC            90.9979481869        Equal GLC            38.5912188145       
2                    8                    100                  0.8300000000         Equal GLC            81.9340545205        Equal GLC            34.0592719813       
10                   1                    100                  0.7700000000         Equal GLC            109.5557481945       Equal GLC            47.8701188182       
10                   2                    100                  0.7400000000         Equal GLC            100.0548295192       Equal GLC            43.1196594806       
10                   3                    100                  0.7800000000         Equal GLC            92.7742169148        Equal GLC            39.4793531784       
10                   4                    100                  0.8200000000         Equal GLC            75.0912876222        Equal GLC            30.6378885321       
10                   5                    100                  0.8200000000         Equal GLC            91.2660505368        Equal GLC            38.7252699894       
10                   6                    100                  0.8100000000         Equal GLC            70.1507303618        Equal GLC            28.1676099019       
10                   7                    100                  0.7200000000         Equal GLC            108.5928615632       Equal GLC            47.3886755026       
10                   8                    100                  0.7500000000         Equal GLC            99.3799059057        Equal GLC            42.7821976738       
11                   1                    100                  0.6700000000         Unidimensional X     116.7755027395       Equal GLC            52.6250960739       
11                   2                    100                  0.7300000000         Equal GLC            111.8374776516       Equal GLC            49.0109835468       
11                   3                    100                  0.6900000000         Unidimensional X     113.3689188302       Equal GLC            52.0183632336       
11                   4                    100                  0.6500000000         Unidimensional X     128.4048437107       Equal GLC            58.8443714812       
11                   5                    100                  0.6700000000         Equal GLC            138.0215336072       Equal GLC            62.1030115246       
11                   6                    100                  0.7500000000         Equal GLC            110.5601484001       Equal GLC            48.3723189211       
11                   7                    100                  0.7100000000         Unidimensional X     117.9110435874       Equal GLC            54.0425451391       
11                   8                    100                  0.6300000000         Unidimensional X     135.1325001842       Equal GLC            62.3862460334       
12                   1                    100                  0.6700000000         Unidimensional X     115.1037367562       Equal GLC            50.7017140721       
12                   2                    100                  0.7600000000         Unidimensional X     103.0620917560       Equal GLC            46.4178801257       
12                   3                    100                  0.7500000000         Equal GLC            100.8686723047       Equal GLC            43.5265808734       
12                   4                    100                  0.7700000000         Equal GLC            105.0782986943       Equal GLC            45.6313940682       
12                   5                    100                  0.7800000000         Equal GLC            82.3532199688        Equal GLC            34.2688547054       
12                   6                    100                  0.8000000000         Equal GLC            70.6483408201        Equal GLC            28.4164151311       
12                   7                    100                  0.7500000000         Unidimensional X     79.0798424527        Equal GLC            34.6150287142       
12                   8                    100                  0.7400000000         Unidimensional X     79.8724392795        Equal GLC            34.2352494809       
13                   1                    100                  0.7100000000         Equal GLC            115.5507546063       Equal GLC            50.8676220242       
13                   2                    100                  0.7100000000         Equal GLC            104.1495666530       Equal GLC            45.1670280475       
13                   3                    100                  0.6100000000         Unidimensional X     117.4595049882       Equal GLC            53.3453688318       
13                   4                    100                  0.7000000000         Unidimensional X     101.7155608138       Equal GLC            46.0840795664       
13                   5                    100                  0.7500000000         Equal GLC            82.5357257255        Equal GLC            34.3601075838       
13                   6                    100                  0.6700000000         Equal GLC            110.2965650512       Equal GLC            48.2405272466       
13                   7                    100                  0.6300000000         Unidimensional X     84.4872410746        Equal GLC            37.6359402134       
13                   8                    100                  0.6700000000         Unidimensional X     102.8000202101       Unidimensional X     46.7948399191       
14                   1                    100                  0.7300000000         Unidimensional Y     87.2312012476        Equal GLC            38.7712145719       
14                   2                    100                  0.6700000000         Unidimensional Y     115.8677054691       Equal GLC            52.5721262846       
14                   3                    100                  0.6900000000         Unidimensional Y     117.7917336389       Equal GLC            54.2388009948       
14                   4                    100                  0.7600000000         Equal GLC            112.2942783464       Equal GLC            49.2393838942       
14                   5                    100                  0.7500000000         Equal GLC            109.0594163562       Equal GLC            47.6219528991       
14                   6                    100                  0.7700000000         Equal GLC            99.9473088974        Equal GLC            43.0658991697       
14                   7                    100                  0.8000000000         Equal GLC            95.1555407576        Equal GLC            40.6700150998       
