Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
1                    1                    100                  0.6900000000         Unidimensional X     96.8889134264        Unidimensional X     43.8392865272       
1                    2                    100                  0.7200000000         Unidimensional X     111.9577241510       Equal GLC            50.5620930387       
1                    3                    100                  0.7100000000         Unidimensional X     78.2813840532        Equal GLC            32.7541856025       
1                    4                    100                  0.7100000000         Unidimensional X     76.3194767052        Equal GLC            33.5510575937       
1                    5                    100                  0.6400000000         Unidimensional X     114.4922816555       Unidimensional X     52.6409706418       
1                    6                    100                  0.6600000000         Unidimensional X     98.5836964794        Unidimensional X     44.6866780537       
1                    7                    100                  0.6800000000         Unidimensional X     89.6926272589        Equal GLC            40.1829647077       
1                    8                    100                  0.6500000000         Unidimensional X     123.7924873614       Equal GLC            57.2649520957       
2                    1                    100                  0.7300000000         Unidimensional X     102.1856086398       Unidimensional X     46.4876341339       
2                    2                    100                  0.6500000000         Unidimensional X     120.2770577969       Unidimensional X     55.5333587125       
2                    3                    100                  0.6700000000         Unidimensional X     125.8477993586       Equal GLC            57.5947944731       
2                    4                    100                  0.7300000000         Unidimensional X     110.3078798993       Unidimensional X     50.5487697637       
2                    5                    100                  0.6300000000         Unidimensional X     118.8195474463       Equal GLC            54.6450656259       
2                    6                    100                  0.8200000000         Equal GLC            109.7044895830       Equal GLC            47.9444895125       
2                    7                    100                  0.6600000000         Unidimensional X     133.9347938381       Equal GLC            61.1161885768       
2                    8                    100                  0.6600000000         Unidimensional X     126.3724396594       Unidimensional X     58.5810496437       
3                    1                    100                  0.6800000000         Unidimensional X     108.3119435690       Equal GLC            49.5353543691       
3                    2                    100                  0.7700000000         Equal GLC            107.9782374088       Equal GLC            47.0813634254       
3                    3                    100                  0.7900000000         Equal GLC            98.9449518724        Equal GLC            42.5647206572       
3                    4                    100                  0.8400000000         Equal GLC            94.2823722016        Equal GLC            40.2334308218       
3                    5                    100                  0.8700000000         Equal GLC            55.2411057736        Equal GLC            20.7127976078       
3                    6                    100                  0.8800000000         Equal GLC            65.0786578079        Equal GLC            25.6315736250       
3                    7                    100                  0.8100000000         Equal GLC            78.5799484189        Equal GLC            32.3822189305       
3                    8                    100                  0.8600000000         Equal GLC            73.8150111257        Equal GLC            29.9997502838       
4                    1                    100                  0.7600000000         Equal GLC            117.0096076076       Equal GLC            51.5970485248       
4                    2                    100                  0.7600000000         Unidimensional Y     100.4190205877       Equal GLC            43.8725449839       
4                    3                    100                  0.7400000000         Unidimensional Y     94.7693317649        Equal GLC            41.3500755783       
4                    4                    100                  0.7600000000         Equal GLC            86.3398396424        Equal GLC            36.2621645422       
4                    5                    100                  0.7700000000         Unidimensional Y     91.1550759738        Equal GLC            39.2949286117       
4                    6                    100                  0.7400000000         Unidimensional Y     80.4781066446        Equal GLC            35.3615027877       
4                    7                    100                  0.6900000000         Equal GLC            86.8284853013        Equal GLC            36.5064873717       
4                    8                    100                  0.7200000000         Equal GLC            94.2784281795        Equal GLC            40.2314588108       
5                    1                    100                  0.4800000000         Biased Guessing      128.4253030711       Biased Guessing      61.9100664426       
5                    2                    100                  0.4500000000         Biased Guessing      136.3963063226       Biased Guessing      65.8955680683       
5                    3                    100                  0.5600000000         Biased Guessing      136.3963063226       Biased Guessing      65.8955680683       
5                    4                    100                  0.4700000000         Guessing             138.6294361120       Biased Guessing      69.2346967090       
