Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
1                    1                    100                  0.9000000000         Unidimensional Y     50.1567074229        Equal GLC            20.1575572402       
1                    2                    100                  0.8700000000         Equal GLC            74.8713514899        Equal GLC            30.5279204659       
1                    3                    100                  0.9100000000         Unidimensional Y     49.6115871486        Equal GLC            18.5662040613       
1                    4                    100                  0.8600000000         Equal GLC            83.2473642749        Equal GLC            34.7159268584       
1                    5                    100                  0.9300000000         Unidimensional X     45.5213554819        Equal GLC            16.7492669145       
1                    6                    100                  0.9500000000         Unidimensional X     33.5017051072        Equal GLC            11.8739224060       
1                    7                    100                  0.8500000000         Equal GLC            85.7570699054        Equal GLC            35.9707796737       
1                    8                    100                  0.7700000000         Equal GLC            99.3475913607        Equal GLC            42.7660404014       
2                    1                    100                  0.8900000000         Guessing             138.6294361120       Equal GLC            65.3190966279       
2                    2                    100                  0.8400000000         Unidimensional Y     81.5269259274        Equal GLC            36.1495767083       
2                    3                    100                  0.8500000000         Unidimensional Y     80.4904772218        Equal GLC            35.1219536456       
2                    4                    100                  0.7000000000         Unidimensional Y     118.3708362133       Equal GLC            53.4718185374       
2                    5                    100                  0.8900000000         Unidimensional X     73.9639039053        Equal GLC            31.4233282033       
2                    6                    100                  0.8700000000         Unidimensional X     76.9602727438        Equal GLC            31.8669730036       
2                    7                    100                  0.7200000000         Equal GLC            123.0161802773       Equal GLC            54.6003348597       
2                    8                    100                  0.7400000000         Equal GLC            112.0310590724       Equal GLC            49.1077742572       
3                    1                    100                  0.8800000000         Equal GLC            83.4908357575        Equal GLC            34.8376625998       
3                    2                    100                  0.8500000000         Unidimensional Y     73.5513871979        Equal GLC            32.1298914640       
3                    3                    100                  0.8900000000         Equal GLC            77.6190421011        Equal GLC            31.9017657716       
3                    4                    100                  0.8300000000         Equal GLC            101.2537396317       Equal GLC            43.7191145369       
3                    5                    100                  0.8800000000         Equal GLC            71.4580858049        Equal GLC            28.8212876235       
3                    6                    100                  0.8900000000         Equal GLC            65.4784799203        Equal GLC            25.8314846812       
3                    7                    100                  0.7700000000         Equal GLC            93.0321006861        Equal GLC            39.6082950641       
3                    8                    100                  0.7900000000         Equal GLC            109.4188813603       Equal GLC            47.8016854012       
4                    1                    100                  0.8300000000         Unidimensional X     89.8189415716        Equal GLC            39.8216268777       
4                    2                    100                  0.9200000000         Equal GLC            63.1096796701        Equal GLC            24.6470845561       
4                    3                    100                  0.9100000000         Unidimensional X     43.9206525818        Equal GLC            16.8024063184       
4                    4                    100                  0.8800000000         Equal GLC            86.5119985043        Equal GLC            36.3482439732       
4                    5                    100                  0.8600000000         Unidimensional Y     83.5587371377        Equal GLC            35.1426523222       
4                    6                    100                  0.9000000000         Unidimensional Y     60.2706429870        Equal GLC            25.4933496588       
4                    7                    100                  0.6700000000         Equal GLC            129.0875351472       Equal GLC            57.6360122946       
4                    8                    100                  0.6900000000         Equal GLC            130.5441435242       Equal GLC            58.3643164831       
9                    1                    100                  0.7800000000         Unidimensional Y     109.0826092278       Equal GLC            49.4869232135       
9                    2                    100                  0.8600000000         Unidimensional Y     78.9937831153        Equal GLC            34.7711569895       
9                    3                    100                  0.9200000000         Unidimensional Y     65.5388271818        Equal GLC            26.4733745716       
9                    4                    100                  0.7100000000         Equal GLC            95.1523832940        Equal GLC            40.6684363680       
9                    5                    100                  0.8800000000         Equal GLC            77.9028432568        Equal GLC            32.0436663494       
9                    6                    100                  0.9000000000         Unidimensional X     64.6925419922        Equal GLC            26.1849529222       
9                    7                    100                  0.7700000000         Equal GLC            82.0025844356        Equal GLC            34.0935369388       
9                    8                    100                  0.7800000000         Equal GLC            78.4418156359        Equal GLC            32.3131525390       
31                   1                    100                  0.7400000000         Equal GLC            113.6968503416       Equal GLC            49.9406698918       
31                   2                    100                  0.8600000000         Unidimensional Y     82.8865471484        Equal GLC            36.3856889651       
31                   3                    100                  0.9100000000         Unidimensional Y     51.9535342674        Equal GLC            20.1443915703       
31                   4                    100                  0.8800000000         Equal GLC            75.2078037995        Equal GLC            30.6961466208       
31                   5                    100                  0.9300000000         Equal GLC            62.3935113543        Equal GLC            24.2890003982       
31                   6                    100                  0.9600000000         Unidimensional X     51.0318591440        Unidimensional X     20.9107593860       
