Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
101                  1                    100                  0.6200000000         Unidimensional X     102.4292284996       Equal GLC            45.6304150095       
101                  2                    100                  0.7300000000         Unidimensional X     59.3600015188        Equal GLC            24.4654654290       
101                  3                    100                  0.9700000000         Unidimensional X     18.1731065631        Equal GLC            3.9732144930        
101                  4                    100                  0.9700000000         Unidimensional X     15.5976487489        Equal GLC            3.1921006170        
101                  5                    100                  0.7500000000         Unidimensional X     68.2638037517        Equal GLC            28.9705544208       
101                  6                    100                  0.7100000000         Unidimensional X     72.3704581957        Unidimensional X     31.5800589118       
102                  1                    100                  0.8500000000         Equal GLC            95.6778249222        Equal GLC            40.9311571821       
102                  2                    100                  0.9000000000         Unidimensional X     77.7451330864        Equal GLC            34.1983899310       
102                  3                    100                  0.6300000000         Unidimensional X     116.1478624071       Equal GLC            53.4634450267       
102                  4                    100                  0.5500000000         Biased Guessing      138.3547875563       Biased Guessing      66.8748086852       
102                  5                    100                  0.7600000000         Unidimensional X     108.1304028397       Equal GLC            48.8495903743       
102                  6                    100                  0.4200000000         Biased Guessing      128.4253030711       Equal GLC            60.1372208786       
103                  1                    100                  0.8300000000         Unidimensional Y     96.6173427811        Equal GLC            42.5096073372       
103                  2                    100                  0.9200000000         Unidimensional Y     44.9710914335        Equal GLC            17.8466357794       
103                  3                    100                  0.8600000000         Equal GLC            78.9915188631        Equal GLC            32.5880041526       
103                  4                    100                  0.9200000000         Unidimensional X     57.3578068524        Equal GLC            22.7189997939       
103                  5                    100                  0.6900000000         Equal GLC            119.7250814874       Equal GLC            52.9547854647       
103                  6                    100                  0.7000000000         Equal GLC            124.6267755488       Equal GLC            55.4056324954       
104                  1                    100                  0.8600000000         Equal GLC            58.6009750155        Equal GLC            22.3927322288       
104                  2                    100                  0.9000000000         Unidimensional X     63.1863556480        Equal GLC            26.8345760164       
104                  3                    100                  0.6300000000         Unidimensional X     103.5577103387       Equal GLC            47.0232763538       
104                  4                    100                  0.5600000000         Equal GLC            86.7403243759        Equal GLC            36.4624069089       
104                  5                    100                  0.7200000000         Unidimensional X     74.0343095144        Unidimensional X     32.4119845712       
104                  6                    100                  0.6700000000         Unidimensional X     75.9239183056        Unidimensional X     33.3567889668       
110                  1                    100                  0.8600000000         Unidimensional Y     84.2042668621        Equal GLC            37.4173709717       
110                  2                    100                  0.8600000000         Unidimensional Y     77.5064555835        Equal GLC            33.0052030606       
