Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
101                  1                    100                  0.7500000000         Unidimensional Y     118.8907030990       Equal GLC            54.2265797440       
101                  2                    100                  0.8900000000         Equal GLC            77.7826926771        Equal GLC            31.9835910596       
101                  3                    100                  0.7500000000         Equal GLC            106.2079200909       Equal GLC            46.1962047665       
101                  4                    100                  0.7500000000         Equal GLC            116.2798002211       Equal GLC            51.2321448316       
101                  5                    100                  0.7100000000         Equal GLC            113.9616906267       Equal GLC            50.0730900343       
101                  6                    100                  0.5900000000         Unidimensional Y     122.9750008511       Equal GLC            56.6083493439       
102                  1                    100                  0.9500000000         Unidimensional X     33.4401464853        Equal GLC            10.3680623262       
102                  2                    100                  0.9600000000         Unidimensional X     30.8630861635        Equal GLC            10.6247770055       
102                  3                    100                  0.9000000000         Equal GLC            71.4326876288        Equal GLC            28.8085885354       
102                  4                    100                  0.8500000000         Equal GLC            69.7287882746        Equal GLC            27.9566388583       
102                  5                    100                  0.7900000000         Equal GLC            112.8028592280       Equal GLC            49.4936743350       
102                  6                    100                  0.7400000000         Equal GLC            126.9783452718       Equal GLC            56.5814173569       
103                  1                    100                  0.7900000000         Unidimensional X     81.3749847877        Equal GLC            35.5457987452       
103                  2                    100                  0.9100000000         Unidimensional X     43.9594490574        Equal GLC            15.6099022899       
103                  3                    100                  0.8600000000         Equal GLC            74.7711640007        Equal GLC            30.4778267214       
103                  4                    100                  0.8000000000         Equal GLC            83.4330980670        Equal GLC            34.8087937545       
103                  5                    100                  0.7500000000         Equal GLC            104.6263444631       Equal GLC            45.4054169526       
103                  6                    100                  0.8000000000         Equal GLC            90.4313299284        Equal GLC            38.3079096852       
104                  1                    100                  0.6100000000         Guessing             138.6294361120       Biased Guessing      68.8138813714       
104                  2                    100                  0.8000000000         Unidimensional Y     102.3515515707       Equal GLC            46.5186843580       
104                  3                    100                  0.9500000000         Equal GLC            52.8677164103        Equal GLC            19.5261029261       
